"","name","type","geometry"
"1","Museum: Gedenkstätte Deutscher Widerstand","museum",c(13.3629858, 52.5076051)
"2","Museum: Deutsche Kinemathek - Museum für Film und Fernsehen","museum",c(13.37351, 52.5096032)
"3","Museum: Das Museum der Domäne Dahlem","museum",c(13.2889441, 52.4583565)
"4","Museum: Stasimuseum","museum",c(13.487322, 52.5145186)
"5","Museum: Feuerwehrmuseum Berlin","museum",c(13.2863134, 52.5863068)
"6","Museum: Museum für Kommunikation","museum",c(13.3872552, 52.5099308)
"7","Museum: Heimatmuseum Köpenick","museum",c(13.5790965, 52.4453638)
"8","Museum: Ethnologisches Museum","museum",c(13.2929563, 52.4606001)
"9","Museum: Dalí - Die Ausstellung am Potsdamer Platz","museum",c(13.378434, 52.5087884)
"10","Museum: Museum","museum",c(13.2138475, 52.5412616)
"11","Museum: Erinnerungsstätte Notaufnahmelager Marienfelde","museum",c(13.3684502, 52.4204028)
"12","Museum: Waldwiese","museum",c(13.5491834, 52.4622189)
"13","Museum: Anti-Kriegs-Museum","museum",c(13.3479153, 52.5460666)
"14","Museum: Puppentheater-Museum Berlin","museum",c(13.4390108, 52.4772885)
"15","Museum: Die Mauer | The Wall","museum",c(13.3798316, 52.5093578)
"16","Museum: Berliner Unterwelten-Museum","museum",c(13.3892456, 52.5478117)
"17","Museum: Heimatmuseum Zehlendorf","museum",c(13.2603049, 52.4354496)
"18","Museum: Museum für Naturkunde","museum",c(13.3791152, 52.5304903)
"19","Museum: Galgenhaus Stadtmuseum Berlin","museum",c(13.4024859, 52.5143734)
"20","Museum: Museum im alten Wasserwerk","museum",c(13.6440642, 52.4476818)
"21","Museum: Hugenottenmuseum Berlin","museum",c(13.3924292, 52.514289)
"22","Museum: Historische Ausstellung des Dt. Bundestages","museum",c(13.3927272, 52.5126755)
"23","Museum: Heimatmuseum Treptow","museum",c(13.5022281, 52.4434519)
"24","Museum: Jugend[widerstands]museum","museum",c(13.4561865, 52.5177979)
"25","Museum: Polizeimuseum","museum",c(13.3871677, 52.4829728)
"26","Museum: FHXB Friedrichshain-Kreuzberg Museum","museum",c(13.4182215, 52.5006018)
"27","Museum: Keramik-Museum Berlin","museum",c(13.304034, 52.5171949)
"28","Museum: Labyrinth Kindermuseum","museum",c(13.3859968, 52.556125)
"29","Museum: Heimatmuseum Rudow","museum",c(13.495073, 52.417445)
"30","Museum: Fichtebunker","museum",c(13.4125151, 52.4903183)
"31","Museum: Anna-Seghers-Gedenkstätte","museum",c(13.5407192, 52.4381707)
"32","Museum: WasserWerkstatt des WasserMuseum e.V.","museum",c(13.3037544, 52.4704996)
"33","Museum: Museum Lichtenberg im Stadthaus","museum",c(13.4808551, 52.5029909)
"34","Museum: Die Pankower Machthaber","museum",c(13.4063769, 52.5763987)
"35","Museum: Computerspielemuseum Berlin","museum",c(13.4419715, 52.5176913)
"36","Museum: Institut für Marxismus Leninismus","museum",c(13.4158473, 52.5275804)
"37","Museum: Ökoinsel","museum",c(13.550708, 52.4623214)
"38","Museum: Eichgestell","museum",c(13.5524225, 52.4595129)
"39","Museum: Palast","museum",c(13.5494974, 52.4606472)
"40","Museum: Berliner U-Bahn-Museum","museum",c(13.2499733, 52.5173541)
"41","Museum: Das Verborgene Museum","museum",c(13.3184593, 52.5080398)
"42","Museum: 1. Berliner DDR Motorrad-Museum","museum",c(13.4077402, 52.5229688)
"43","Museum: Zille-Museum","museum",c(13.4063144, 52.5164895)
"44","Museum: Kunstgewerbemuseum","museum",c(13.5728521, 52.4440329)
"45","Museum: Museum Pankow","museum",c(13.4024579, 52.5642198)
"46","Museum: HTW Berlin, Campus Wilhelminenhof, Geb. C (Computermuseum)","museum",c(13.5269397, 52.4572416)
"47","Museum: Museum Blindenwerkstatt Otto Weidt","museum",c(13.4021321, 52.524264)
"48","Museum: Werkbund Berlin","museum",c(13.3184486, 52.5090606)
"49","Museum: Hamburger Bahnhof - Museum für Gegenwart","museum",c(13.3720175, 52.5284267)
"50","Museum: Forum Willy Brandt Berlin","museum",c(13.3863294, 52.5153117)
"51","Museum: Ausstellungen in der Kleinen Orangerie am Schloss Charlottenburg","museum",c(13.2936163, 52.5199022)
"52","Museum: Berliner Medizinhistorisches Museum der Charité","museum",c(13.3745186, 52.526136)
"53","Museum: Anne Frank Zentrum","museum",c(13.4019195, 52.5244928)
"54","Museum: Uhrenmuseum","museum",c(13.3340538, 52.4699672)
"55","Museum: Das Gotische Haus","museum",c(13.2067237, 52.5376859)
"56","Museum: Bezirksmuseum Marzahn-Hellersdorf, Haus 2","museum",c(13.5619103, 52.543492)
"57","Museum: Mauermuseum","museum",c(13.390676, 52.5071871)
"58","Museum: Waldmuseum","museum",c(13.2512169, 52.4871137)
"59","Museum: Lippenstiftmuseum","museum",c(13.3340771, 52.4883396)
"60","Museum: Museum der Dinge","museum",c(13.4207705, 52.5010562)
"61","Museum: DDR-Museumswohnung WBS 70","museum",c(13.5930033, 52.5342987)
"62","Museum: Museum der Unerhörten Dinge","museum",c(13.3586756, 52.4869923)
"63","Museum: Schwules Museum*","museum",c(13.3582193, 52.5042512)
"64","Museum: Judo Welt-Museum","museum",c(13.3911183, 52.440493)
"65","Museum: Spandovia Sacra – Museum mit Bibliothek und Archiv","museum",c(13.2056528, 52.5387799)
"66","Museum: C/O Berlin","museum",c(13.3306266, 52.5065947)
"67","Museum: Ramones Museum","museum",c(13.443196, 52.5011763)
"68","Museum: Game Science Center","museum",c(13.3934229, 52.5048512)
"69","Museum: Deutsches Historisches Museum","museum",c(13.3970326, 52.517699)
"70","Museum: Trabi Museum","museum",c(13.38865, 52.507451)
"71","Museum: Rotkreuz-Museum","museum",c(13.3268744, 52.4743009)
"72","Museum: Berliner Stadtmodelle","museum",c(13.4159972, 52.5132378)
"73","Museum: Freies Museum Berlin e.V.","museum",c(13.3605076, 52.4983661)
"74","Museum: Menschen Museum","museum",c(13.4089041, 52.5205791)
"75","Museum: Deutsches Spionagemuseum","museum",c(13.3792937, 52.5090125)
"76","Museum: Museum Europäischer Kulturen","museum",c(13.292635, 52.45556)
"77","Museum: Steglitz Museum","museum",c(13.3026687, 52.4372564)
"78","Museum: Gutshof Gatow","museum",c(13.1817243, 52.4849396)
"79","Museum: Rath Factory","museum",c(13.4092191, 52.5152676)
"80","Museum: Sporttauchermuseum","museum",c(13.5877844, 52.4192977)
"81","Museum: Wassersportmuseum","museum",c(13.5874462, 52.4119793)
"82","Museum: The Feuerle Collection","museum",c(13.3780788, 52.5011011)
"83","Museum: Museum der Stille","museum",c(13.3936942, 52.5275656)
"84","Museum: Museum Historischer Ort Krumpuhler Weg","museum",c(13.2727004, 52.5736393)
"85","Museum: Ritter Sport Museum","museum",c(13.3905283, 52.5146378)
"86","Museum: Flakturmruine Volkspark Humboldthain","museum",c(13.3850196, 52.5474534)
"87","Museum: Madame Tussauds","museum",c(13.3816742, 52.5168416)
"88","Museum: Buchstabenmuseum","museum",c(13.344761, 52.5199506)
"89","Museum: Helmut Newton Foundation","museum",c(13.3320045, 52.5080191)
"90","Museum: Wasserleben Ausstellung","museum",c(13.236714, 52.4916888)
"91","Museum: Magicum","museum",c(13.3990907, 52.5247205)
"92","Museum: Urban Nation","museum",c(13.3566505, 52.4986678)
"93","Museum: Daimler Contemporary Berlin","museum",c(13.3747784, 52.5083304)
"94","Museum: Braun-Sammlung Ettel Museum für Design","museum",c(13.3363042, 52.5238619)
"95","Museum: Hanf Museum Berlin","museum",c(13.4082689, 52.5166423)
"96","Museum: David Hasselhoff Museum","museum",c(13.401996, 52.530145)
"97","Museum: Designpanoptikum","museum",c(13.4060339, 52.5168725)
"98","Museum: Kindl - Zentrum für zeitgenössische Kunst","museum",c(13.431275, 52.4794637)
"99","Museum: Tauthaus","museum",c(13.4470296, 52.4452795)
"100","Museum: Julia Stoschek Collection Berlin","museum",c(13.39626, 52.5112602)
"101","Museum: Künstlerhaus Bethanien","museum",c(13.4188484, 52.4971249)
"102","Museum: KiKuFri","museum",c(13.3302646, 52.4795502)
"103","Museum: Frauenzentrum","museum",c(13.4462793, 52.4742211)
"104","Museum: Hatch Sticker Museum","museum",c(13.4645632, 52.5173218)
"105","Museum: Jagdschloss Grunewald","museum",c(13.2615082, 52.4673699)
"106","Museum: Museum der Illusionen","museum",c(13.4069139, 52.5215057)
"107","Museum: Culinarium","museum",c(13.2894689, 52.4588463)
"108","Museum: Alice – Museum für Kinder","museum",c(13.5500961, 52.4609975)
"109","Museum: Museum des Kapitalismus","museum",c(13.4348363, 52.5043179)
"110","Museum: Tempelhof Museum","museum",c(13.3854756, 52.4395718)
"111","Museum: Gipsformerei","museum",c(13.2862663, 52.5192079)
"112","Museum: Samurai Art Museum","museum",c(13.2679523, 52.4492279)
"113","Museum: Little Big City","museum",c(13.4084747, 52.520848)
"114","Museum: MACHmit! Museum für Kinder","museum",c(13.4226724, 52.5405294)
"115","Museum: Sammlung Scharf-Gerstenberg","museum",c(13.2971723, 52.5192239)
"116","Museum: Abguss-Sammlung Antiker Plastik","museum",c(13.2975972, 52.5188495)
"117","Museum: Heimatmuseum Charlottenburg","museum",c(13.2967436, 52.5187782)
"118","Museum: Zimmermeister Brunzel baut ein Mietshaus","museum",c(13.4214133, 52.543528)
"119","Museum: Gallery of Steel Figures","museum",c(13.3898033, 52.5174377)
"120","Museum: Humboldt Forum","museum",c(13.4018724, 52.5171411)
"121","Museum: Militär-Historisches Museum Berlin-Gatow","museum",c(13.141735, 52.474199)
"122","Museum: Magazin","museum",c(13.2138500825372, 52.5412733317699)
"123","Museum: Museum der Staatlichen Münze Berlin","museum",c(13.330332479538, 52.5727342020658)
"124","Museum: Haus 10 Austelllung ""Totgeschwiegen""","museum",c(13.3303785185227, 52.5830238370782)
"125","Museum: Neues Museum","museum",c(13.3977304650051, 52.5201699392401)
"126","Museum: Musikinstrumenten-Museum","museum",c(13.3708335666126, 52.5104320363148)
"127","Museum: Kupferstichkabinett","museum",c(13.3666463054377, 52.5084014766162)
"128","Museum: Nikolaikirche","museum",c(13.4074941317882, 52.5168154606179)
"129","Museum: Schloss Schönhausen","museum",c(13.4056871511282, 52.5783546499416)
"130","Museum: Topographie des Terrors","museum",c(13.3844350186836, 52.5062841180794)
"131","Museum: Schloss Pfaueninsel","museum",c(13.1198627638826, 52.4309245538807)
"132","Museum: Stadtgeschichtliches Museum Spandau","museum",c(13.213538199104, 52.5406285058071)
"133","Museum: Alliierte in Berlin","museum",c(13.3197817499424, 52.561607352199)
"134","Museum: Gründerzeitmuseum im Gutshaus Mahlsdorf","museum",c(13.6139284187396, 52.5024940213302)
"135","Museum: Museum für Fotografie","museum",c(13.3320750546122, 52.5081404430004)
"136","Museum: Knoblauchhaus","museum",c(13.4069876310866, 52.5164428900512)
"137","Museum: Liebermann-Villa","museum",c(13.1648798386422, 52.4287743427854)
"138","Museum: Museum Neukölln","museum",c(13.4377779606918, 52.4459664357901)
"139","Museum: Botanisches Museum Berlin-Dahlem","museum",c(13.305098031421, 52.4583967970343)
"140","Museum: Museumsdorf Düppel","museum",c(13.2333619623603, 52.4251763972096)
"141","Museum: SA-Gefängnis Papestraße","museum",c(13.3700070131284, 52.4755651268727)
"142","Museum: Ruine der Künste","museum",c(13.2854806031029, 52.4517205790916)
"143","Museum: Haus am Waldsee","museum",c(13.2384811543299, 52.442088561487)
"144","Museum: Bezirksmuseum Marzahn-Hellersdorf, Haus 1","museum",c(13.5610051543733, 52.5431525903556)
"145","Museum: Deutsches Technikmuseum Berlin","museum",c(13.3762503444621, 52.4972355801412)
"146","Museum: Kunsthaus Dahlem","museum",c(13.2741518363016, 52.4663723600699)
"147","Museum: Berlinische Galerie","museum",c(13.398203677464, 52.503891277097)
"148","Museum: Schmetterlingshorst","museum",c(13.6094932924308, 52.4125978992797)
"149","Museum: Haus der Wannseekonferenz","museum",c(13.1656019784738, 52.4329264895204)
"150","Museum: Ausstellung","museum",c(13.5094840556457, 52.5146165541724)
"151","Museum: Museum Kesselhaus","museum",c(13.5120486351705, 52.527855912676)
"152","Museum: Direktorenhaus Berlin","museum",c(13.4096057402471, 52.5151655460131)
"153","Museum: Tränenpalast","museum",c(13.3870916137499, 52.5208718445652)
"154","Museum: Energie-Museum","museum",c(13.3300055879498, 52.4434323332351)
"155","Museum: Gedenkstätte Berliner Mauer (Dokumentationszentrum)","museum",c(13.3895524066259, 52.5353001786299)
"156","Museum: Otto Bock Science Center Medizintechnik","museum",c(13.3773194373975, 52.511296602415)
"157","Museum: Käthe-Kollwitz-Museum Berlin","museum",c(13.326934459151, 52.5016751801631)
"158","Museum: Deutsches Blinden-Museum","museum",c(13.3150827670334, 52.4558015465326)
"159","Museum: Wilhelm-Foerster-Sternwarte","museum",c(13.3512646035466, 52.4573992322598)
"160","Museum: Reichsbahnbunker Friedrichstraße","museum",c(13.384001461148, 52.5235543071263)
"161","Museum: Gedenkstätte Berliner Mauer (Besucherzentrum)","museum",c(13.387457303091, 52.5337942952525)
"162","Museum: Georg-Kolbe-Museum","museum",c(13.2547406079756, 52.5099253551584)
"163","Museum: Meierei","museum",c(13.13197418219, 52.4392405649833)
"164","Museum: Museum im Böhmischen Dorf","museum",c(13.4455992498218, 52.4754316499375)
"165","Museum: Heimatmuseum Reinickendorf","museum",c(13.3186832463883, 52.6154580041679)
"166","Museum: Museum Charlottenburg-Wilmersdorf in der Villa Oppenheim","museum",c(13.2980188167254, 52.5161371960248)
"167","Museum: Alliierten-Museum","museum",c(13.272263388067, 52.4556313902605)
"168","Museum: Museum Berggruen","museum",c(13.2950778289404, 52.5190976388982)
"169","Museum: Rixdorfer Schmiede","museum",c(13.4463122912103, 52.4741884473125)
"170","Museum: Bröhan-Museum","museum",c(13.2953794290931, 52.5186412239287)
"171","Museum: Science Center Spectrum","museum",c(13.3794009172865, 52.4981173555075)
"172","Museum: Max-Liebermann-Haus","museum",c(13.377835250246, 52.5167032536746)
"173","Museum: Museum in der Kulturbrauerei","museum",c(13.4137183921087, 52.5402852988326)
"174","Museum: Kunsthalle Berlin-Weißensee","museum",c(13.4393285685425, 52.5561139818351)
"175","Museum: Effizienzhaus-Plus mit Elektromobilität","museum",c(13.3293380579864, 52.5090798977874)
"176","Museum: Dokumentationszentrum NS-Zwangsarbeit","museum",c(13.5188476363917, 52.4526905420624)
"177","Museum: Ort der Information","museum",c(13.3797563744249, 52.5137437485818)
"178","Museum: Berlin Story Bunker","museum",c(13.3802543266669, 52.5027610209606)
"179","Museum: DDR-Museum","museum",c(13.4022561793748, 52.5194214973905)
"180","Museum: Informationsort Schwerbelastungskörper","museum",c(13.3715696080001, 52.4840285805478)
"181","Museum: asisi Panorama Berlin Die Mauer","museum",c(13.389432579928, 52.5078951883814)
"182","Museum: Museum für Architekturzeichnung","museum",c(13.4100177382593, 52.5320675486546)
"183","Museum: Schloss Charlottenburg","museum",c(13.2953547363362, 52.5207810142327)
"184","Museum: James-Simon-Galerie","museum",c(13.3971138542337, 52.5199425505622)
"185","Museum: Alte Bäckerei – Museum für Kindheit in Pankow","museum",c(13.3999057027226, 52.5683661991077)
"186","Museum: Industriesalon Schöneweide","museum",c(13.5179840039707, 52.4603360697342)
"187","Museum: Pergamon-Panorama","museum",c(13.393483649141, 52.5208238915927)
"188","Museum: Gaslaternen-Freilichtmuseum","museum",c(13.3370470162844, 52.5124579672729)
"189","Museum: Ephraim-Palais","museum",c(13.4071415259634, 52.5158679859732)
"190","Museum: Deutsch-Russisches Museum Berlin-Karlshorst","museum",c(13.5400676132185, 52.4862456585962)
"191","Museum: Jüdisches Museum","museum",c(13.3960767599775, 52.5018750436495)
"192","Museum: BlackBox Kalter Krieg","museum",c(13.3906541047808, 52.5079794711952)
"193","Museum: Pergamonmuseum","museum",c(13.3965911066781, 52.5209714416386)
"194","Museum: Alte Nationalgalerie","museum",c(13.3982511450484, 52.5208712279586)
"195","Museum: Lern- und Gedenkort Annedore und Julius Leber","museum",c(13.3609880525912, 52.4793213984056)
"196","Museum: Gedenkstätte Berlin-Hohenschönhausen","museum",c(13.5013514839377, 52.5417378883827)
"197","Museum: Ausstellung zur Berliner Märzrevolution","museum",c(13.4365490264592, 52.5241492042724)
"198","Museum: Heimatmuseum (Mitte Museum am Gesundbrunnen)","museum",c(13.3801340944993, 52.5510532195203)
"199","Museum: Ausstellung Zwangsarbeiter des kirchlichen Friedhofslagers Berlin 1942 - 1945","museum",c(13.4291659783947, 52.4726160454353)
"200","Museum: Futurium","museum",c(13.3743393227638, 52.5240287962014)
"201","Museum: Technoversum","museum",c(13.3780862116502, 52.4965358013444)
"202","Museum: Dokumentationszentrum NS-Zwangsarbeit Berlin-Schöneweide: Baracke 13","museum",c(13.5229410944184, 52.4523362357956)
"203","Museum: Schöneberg Museum","museum",c(13.3509817546503, 52.483899560648)
"204","Museum: Mies van der Rohe Haus","museum",c(13.4905311563367, 52.549187699901)
"205","Museum: Gedenkstätte Plötzensee","museum",c(13.3228713557521, 52.5408771326461)
"206","Theatre: Friedrichstadt-Palast","theatre",c(13.3888786, 52.5239216)
"207","Theatre: Quatsch Comedy Club","theatre",c(13.3886211, 52.5236239)
"208","Theatre: Kabarett-Theater Distel","theatre",c(13.3885051, 52.5206669)
"209","Theatre: Admiralspalast","theatre",c(13.3889021, 52.5207714)
"210","Theatre: Die Wühlmäuse","theatre",c(13.2707514, 52.5088651)
"211","Theatre: HAU 2 (Hebbel am Ufer)","theatre",c(13.3862714, 52.4990938)
"212","Theatre: Sophiensæle","theatre",c(13.4011409, 52.5258112)
"213","Theatre: Berliner Kriminaltheater","theatre",c(13.4399455, 52.5182037)
"214","Theatre: Schaubühne am Lehniner Platz","theatre",c(13.3022747, 52.4986606)
"215","Theatre: Ratibortheater","theatre",c(13.4430035, 52.4976425)
"216","Theatre: Verlängertes Wohnzimmer","theatre",c(13.4721701, 52.5142329)
"217","Theatre: Deutsche Oper Berlin","theatre",c(13.3083771, 52.5121441)
"218","Theatre: Theater an der Parkaue","theatre",c(13.4774483, 52.5169974)
"219","Theatre: Scheinbar Varieté e.V.","theatre",c(13.366735, 52.4881169)
"220","Theatre: Theater Thikwa (F40)","theatre",c(13.3883479, 52.4873738)
"221","Theatre: Komische Oper Berlin","theatre",c(13.3869856, 52.5156648)
"222","Theatre: Deutsches Theater","theatre",c(13.3819066, 52.5243546)
