"B_name","origin_perc_africa","origin_perc_asia","origin_perc_europe","origin_perc_NA","origin_perc_oceania","origin_perc_SA","origin_perc_unknown"
"Charlottenburg-Wilmersdorf",0.02,0.09,0.82,0.02,0,0.02,0.03
"Friedrichshain-Kreuzberg",0.02,0.07,0.83,0.02,0.01,0.02,0.04
"Lichtenberg",0.01,0.1,0.86,0,0,0.01,0.01
"Marzahn-Hellersdorf",0.01,0.07,0.91,0,0,0,0.01
"Mitte",0.03,0.11,0.78,0.02,0,0.02,0.05
"Neukölln",0.02,0.08,0.82,0.01,0,0.01,0.06
"Pankow",0.01,0.05,0.91,0.01,0,0.01,0.01
"Reinickendorf",0.02,0.06,0.87,0,0,0.01,0.03
"Spandau",0.02,0.09,0.85,0,0,0.01,0.03
"Steglitz-Zehlendorf",0.02,0.06,0.87,0.02,0,0.01,0.02
"Tempelhof-Schöneberg",0.02,0.07,0.85,0.01,0,0.01,0.04
"Treptow-Köpenick",0.01,0.04,0.93,0,0,0.01,0.01
