"B_name","origin_perc_africa","origin_perc_asia","origin_perc_europe","origin_perc_north_america","origin_perc_oceania","origin_perc_south_america","origin_perc_unknown"
"Charlottenburg-Wilmersdorf",2,9,82,2,0,2,3
"Friedrichshain-Kreuzberg",2,7,83,2,1,2,4
"Lichtenberg",1,10,86,0,0,1,1
"Marzahn-Hellersdorf",1,7,91,0,0,0,1
"Mitte",3,11,78,2,0,2,5
"Neukölln",2,8,82,1,0,1,6
"Pankow",1,5,91,1,0,1,1
"Reinickendorf",2,6,87,0,0,1,3
"Spandau",2,9,85,0,0,1,3
"Steglitz-Zehlendorf",2,6,87,2,0,1,2
"Tempelhof-Schöneberg",2,7,85,1,0,1,4
"Treptow-Köpenick",1,4,93,0,0,1,1
