"","name","religion","geometry"
"1","Foguang-Shan Tempel","buddhist",c(13.3820567, 52.5397508)
"2","Buddhistisches Zentrum Bodhicharya Deutschland e.V.","buddhist",c(13.4654696, 52.5122972)
"3","Buddhistisches Tor Berlin","buddhist",c(13.4125654, 52.4925385)
"4","International Zen Temple","buddhist",c(13.4216124, 52.5008249)
"5","Mao Fang Centrum","buddhist",c(13.2085176, 52.5601778)
"6","Shaolin Tempel","buddhist",c(13.3310637, 52.4974645)
"7","Wat Sacca","buddhist",c(13.4799712, 52.5020615)
"8","Buddhistisches Zentrum Berlin","buddhist",c(13.4452454, 52.5525475)
"9","Dharma Mati","buddhist",c(13.2791877, 52.5170517)
"10","Wat Buddhavihara Berlin","buddhist",c(13.4460908, 52.5693535)
"11","Zen Zentrum Berlin","buddhist",c(13.3698805, 52.5498509)
"12","Zentrum für Meditation und tibetischen Yoga","buddhist",c(13.3204476, 52.4749464)
"13","Tempel Phổ Đà","buddhist",c(13.5164127499943, 52.5469249501459)
"14","Buddhistisches Haus","buddhist",c(13.3028775455005, 52.6357219411511)
"15","Wat Pah Bodhi-Dhamm","buddhist",c(13.1702771166394, 52.4704272954721)
"16","Linh Thuu Pagode","buddhist",c(13.2117981060239, 52.5289011614695)
"17","Sri Ganesha Hindu Tempel","hindu",c(13.4208206, 52.4868524)
"18","Jagannatha Tempel Berlin","hindu",c(13.4666789, 52.5568446)
"19","Shiva-Ganesha-Tempel","hindu",c(13.32215, 52.5090458)
"20","Sri Mayurapathy Murugan Tempel","hindu",c(13.4446983799149, 52.4527395426504)
"21","Kabbalah Center Berlin","jewish",c(13.3544782, 52.4857586)
"22","Synagoge Herbartstraße","jewish",c(13.2868454, 52.5036843)
"23","Synagoge Rykestraße","jewish",c(13.4186135032633, 52.5353699580827)
"24","Neue Synagoge","jewish",c(13.394349392471, 52.5249744307965)
"25","Jewish Educational Center - Rohr Chabad Center - Szloma Albam Haus","jewish",c(13.3076527272665, 52.4939006130172)
"26","Synagoge Charlottenburg","jewish",c(13.315551476681, 52.5081747255343)
"27","Zentrale Orthodoxe Synagoge zu Berlin","jewish",c(13.3302683690246, 52.502305328918)
"28","Synagoge Fraenkelufer","jewish",c(13.4168525428394, 52.4960234033619)
"29","Sultan Ahmed Camii","muslim",c(13.3587758, 52.5347753)
"30","Hicret Camii","muslim",c(13.3515338, 52.533221)
"31","Inssan-Moschee","muslim",c(13.4012798, 52.4981271)
"32","Gazi Osman Pasa Moschee eV","muslim",c(13.445666, 52.4718577)
"33","Sultan Abdulhamid Han Moschee","muslim",c(13.3564321, 52.551148)
"34","Markaz Rasulallah e.V.","muslim",c(13.1838279, 52.5265817)
"35","Indonesisches Weisheits & Kulturzentrum","muslim",c(13.3519377, 52.5329001)
"36","Hamidiye Camii","muslim",c(13.4273767, 52.4860503)
"37","Alevitischer Kulturverein Berlin e.V. Oniki Imam Yolu/Weg der Zwölf Imame","muslim",c(13.4388682, 52.4784894)
"38","Islamisches Imam Hassan Werk e.V.","muslim",c(13.4025532, 52.4247877)
