"","name","type","geometry"
"1","Museum: Pitzhanger Manor House and Gallery","museum",c(-0.307107, 51.5108862)
"2","Museum: Madame Tussauds","museum",c(-0.1547768, 51.5228224)
"3","Museum: Carshalton Water Tower","museum",c(-0.1668055, 51.36511)
"4","Museum: North Entrance","museum",c(-0.1085627, 51.4962877)
"5","Museum: The Type Museum","museum",c(-0.1155806, 51.4736073)
"6","Museum: Stephens Collection","museum",c(-0.1942691, 51.5965947)
"7","Museum: Pumphouse Educational Museum","museum",c(-0.0372858, 51.506231)
"8","Museum: Dickens Museum","museum",c(-0.1162091, 51.5233722)
"9","Museum: Arsenal Museum","museum",c(-0.1081434, 51.5566742)
"10","Museum: Manor Farm Complex","museum",c(-0.4272326, 51.5786747)
"11","Museum: Whitehall","museum",c(-0.2171332, 51.3594267)
"12","Museum: Borough Museum","museum",c(0.0959941, 51.4863215)
"13","Museum: Topolski Century","museum",c(-0.1156513, 51.5048027)
"14","Museum: Kingston Museum","museum",c(-0.30031, 51.4095825)
"15","Museum: Chelsea Space","museum",c(-0.1293639, 51.4901511)
"16","Museum: Redgate Gallery","museum",c(-0.1023901, 51.4655591)
"17","Museum: Chiswick House","museum",c(-0.2585917, 51.4837475)
"18","Museum: Redbridge Museum","museum",c(0.075381, 51.558088)
"19","Museum: Museum of Methodism","museum",c(-0.0865519, 51.5238169)
"20","Museum: Whitewebs Museum of Transport","museum",c(-0.0949764, 51.681674)
"21","Museum: The Fan Museum","museum",c(-0.0079655, 51.4790917)
"22","Museum: The Octagon Gallery","museum",c(-0.1335088, 51.5247382)
"23","Museum: Grant Museum of Zoology","museum",c(-0.1342662, 51.523732)
"24","Museum: Queen's Gallery","museum",c(-0.142551, 51.4998279)
"25","Museum: Inner Temple Lane Gate","museum",c(-0.1109565, 51.5137701)
"26","Museum: Handel & Hendrix","museum",c(-0.1458842, 51.5129421)
"27","Museum: Hackney Museum","museum",c(-0.0560328, 51.5445834)
"28","Museum: Islington Museum","museum",c(-0.1045003, 51.5264897)
"29","Museum: Museum of the Order of St John","museum",c(-0.1025564, 51.522006)
"30","Museum: Brunei Gallery, SOAS","museum",c(-0.1287326, 51.521796)
"31","Museum: Hintze Hall entrance","museum",c(-0.1763801, 51.4959205)
"32","Museum: Friends of Island History Trust","museum",c(-0.0121518, 51.495288)
"33","Museum: Museum of Croydon","museum",c(-0.0992517, 51.3720528)
"34","Museum: Exit","museum",c(-0.1779323, 51.4961445)
"35","Museum: The Museum of Immigration and Diversity at 19 Princelet Street","museum",c(-0.0724844, 51.519793)
"36","Museum: Dennis Severs' House","museum",c(-0.0778038, 51.5208921)
"37","Museum: Bentley Priory","museum",c(-0.3333653, 51.6264811)
"38","Museum: Tower Bridge Engine Rooms","museum",c(-0.0762069, 51.5043242)
"39","Museum: British Library Exhibition Space","museum",c(-0.1281295, 51.5295982)
"40","Museum: Wellcome Collection","museum",c(-0.1340195, 51.5259739)
"41","Museum: Fitzroy House","museum",c(-0.1391153, 51.5225232)
"42","Museum: House of Illustration","museum",c(-0.1239722, 51.5355751)
"43","Museum: Dugdale Centre Museum","museum",c(-0.0804069, 51.6504326)
"44","Museum: West Entrance","museum",c(-0.1090062, 51.4958146)
"45","Museum: The Clink","museum",c(-0.091988, 51.5070485)
"46","Museum: Highgate School Museum","museum",c(-0.1487534, 51.5722859)
"47","Museum: London Film Museum","museum",c(-0.1210881, 51.5124599)
"48","Museum: The Royal London Hospital Museum","museum",c(-0.0602067, 51.5172894)
"49","Museum: Entrance to the Crown Jewels","museum",c(-0.076017, 51.5085211)
"50","Museum: The Gallery","museum",c(-0.08268, 51.5616517)
"51","Museum: Cromwell Road Entrance","museum",c(-0.1719259, 51.4961939)
"52","Museum: The Sherlock Holmes Museum and shop","museum",c(-0.1584743, 51.5237629)
"53","Museum: Exhibition Road Entrance","museum",c(-0.1740674, 51.4967998)
"54","Museum: St Bartholomew's Hospital museum","museum",c(-0.1004708, 51.5176629)
"55","Museum: The Chocolate Museum","museum",c(-0.1163525, 51.4639484)
"56","Museum: 2 Willow Road","museum",c(-0.1691747, 51.5571646)
"57","Museum: Museum of Domestic Design & Architecture","museum",c(-0.2414621, 51.5960603)
"58","Museum: Bank of England","museum",c(-0.0876652, 51.5141815)
"59","Museum: The Clockmakers' Museum","museum",c(-0.176276, 51.4971162)
"60","Museum: Lie Lie Land","museum",c(-0.1010821, 51.5392769)
"61","Museum: The Guards Museum","museum",c(-0.1361252, 51.5000475)
"62","Museum: The Postal Museum","museum",c(-0.1139982, 51.5247243)
"63","Museum: The Viktor Wynd Museum of Curiosities","museum",c(-0.0576431, 51.5346988)
"64","Museum: Crick Exhibition","museum",c(-0.1279676, 51.531669)
"65","Museum: Household Cavalry Museum","museum",c(-0.1271564, 51.5049487)
"66","Museum: Memory Booth","museum",c(0.2147365, 51.5409797)
"67","Museum: London Motor Museum","museum",c(-0.4213322, 51.5020601)
"68","Museum: Hanwell & Ealing Heritage Museum","museum",c(-0.3354444, 51.5212329)
"69","Museum: Mail Rail Museum","museum",c(-0.1129356, 51.524345)
"70","Museum: City Police Museum","museum",c(-0.0927861, 51.5161425)
"71","Museum: The Charterhouse","museum",c(-0.0997845, 51.5214637)
"72","Museum: British Optical Association Museum","museum",c(-0.1253919, 51.5078919)
"73","Museum: Benjamin Franklin","museum",c(-0.1249836, 51.5076055)
"74","Museum: Memorial Scrolls Trust","museum",c(-0.1665781, 51.5012993)
"75","Museum: International Heritage Centre","museum",c(-0.0885088, 51.4676358)
"76","Museum: Barnet Museum","museum",c(-0.2024586, 51.6528191)
"77","Museum: Museum of Comedy","museum",c(-0.1248012, 51.5175548)
"78","Museum: The Florence Nightingale Museum","museum",c(-0.1176697, 51.5000072)
"79","Museum: Brent Museum","museum",c(-0.2289943, 51.5467447)
"80","Museum: Royal College of Physicians Museum","museum",c(-0.1447883, 51.5257779)
"81","Museum: Royal Academy of Music Museum","museum",c(-0.1522712, 51.5233717)
"82","Museum: Royal Observatory","museum",c(-0.0016737, 51.4779618)
"83","Museum: Body Worlds","museum",c(-0.1340946, 51.5102367)
"84","Museum: MCC Museum","museum",c(-0.1743025, 51.528945)
"85","Museum: The Wallace Collection","museum",c(-0.1530662, 51.5175094)
"86","Museum: Vagina Museum","museum",c(-0.1466877, 51.5419034)
"87","Museum: The Cartoon Museum","museum",c(-0.1385815, 51.5175767)
"88","Museum: 1","museum",c(-0.0293179, 51.3809201)
"89","Museum: The Mosaic Rooms","museum",c(-0.1953781, 51.4948747)
"90","Museum: RSA Interpretation Centre","museum",c(-0.0164942, 51.66829)
"91","Museum: Anna Freud","museum",c(-0.1775374, 51.5482507)
"92","Museum: Sigmund Freud","museum",c(-0.1775372, 51.5482786)
"93","Museum: John Keats","museum",c(-0.1679421, 51.5555714)
"94","Museum: Frederic Leighton","museum",c(-0.2030512, 51.4985274)
"95","Museum: Dr Johnson","museum",c(-0.108114, 51.5149989)
"96","Museum: SS Robin Trust","museum",c(0.0269042, 51.5053652)
"97","Museum: Crystal Palace Museum","museum",c(-0.0766268382578678, 51.419710770627)
"98","Museum: Forty Hall Museum","museum",c(-0.0682464848496393, 51.6696411490825)
"99","Museum: Horniman Museum and Gardens","museum",c(-0.0618560025991305, 51.4419159391319)
"100","Museum: Imperial War Museum","museum",c(-0.108585907902727, 51.4957887898471)
"101","Museum: V&A Museum of Childhood","museum",c(-0.0548389858823605, 51.5290476996933)
"102","Museum: National Army Museum","museum",c(-0.16028421945356, 51.4862555668989)
"103","Museum: Boston Manor","museum",c(-0.318485284771943, 51.4919425638583)
"104","Museum: Vestry House Museum","museum",c(-0.0128441989593375, 51.5840780377396)
"105","Museum: Marble Hill House","museum",c(-0.313317571827233, 51.4494769621667)
"106","Museum: Natural History Museum","museum",c(-0.176208877761068, 51.4964846958918)
"107","Museum: Tate Modern","museum",c(-0.0995127041667125, 51.5075451149277)
"108","Museum: Gunnersbury Park Museum","museum",c(-0.286419689876188, 51.499542979125)
"109","Museum: Petrie Museum of Egyptian Archeology","museum",c(-0.132984306628135, 51.5235782374566)
"110","Museum: Science Museum","museum",c(-0.176084458155726, 51.4972932726949)
"111","Museum: Foundling Museum","museum",c(-0.121675128085092, 51.5252130151983)
"112","Museum: Royal Academy of Arts","museum",c(-0.139686286369813, 51.5092432331094)
"113","Museum: Reading Room","museum",c(-0.126974643651885, 51.5194460416246)
"114","Museum: Bruce Castle","museum",c(-0.075475549085868, 51.5991656174197)
"115","Museum: Transport Museum Depot","museum",c(-0.281322367095358, 51.5046764636654)
"116","Museum: Dr Johnson's House","museum",c(-0.108166100955091, 51.5149095784357)
"117","Museum: London Transport Museum","museum",c(-0.121302379763924, 51.5119893181436)
"118","Museum: Bethlem Museum of the Mind","museum",c(-0.0294287593600661, 51.3809290480494)
"119","Museum: Museum No. 1","museum",c(-0.290011478968979, 51.4796591537533)
"120","Museum: Sir John Soane's Museum","museum",c(-0.117426307200967, 51.5170102356468)
"121","Museum: Keats House","museum",c(-0.167938529810059, 51.5555172609682)
"122","Museum: Burgh House and Hampstead Museum","museum",c(-0.175049035844908, 51.5582042600267)
"123","Museum: The Cuming Museum","museum",c(-0.0968060598665267, 51.4910255315318)
"124","Museum: Kirkaldy Testing Museum","museum",c(-0.101587240024366, 51.5059570017971)
"125","Museum: Pump House Museum","museum",c(-0.034607616942842, 51.576758368755)
"126","Museum: Old Operating Theatre Museum","museum",c(-0.0885110990852698, 51.5050414735768)
"127","Museum: Royal Academy","museum",c(-0.140135965077009, 51.5097300625309)
"128","Museum: Two Temple Place","museum",c(-0.112267204309901, 51.511607073437)
"129","Museum: Fashion and Textile Museum","museum",c(-0.0816676341645293, 51.5011700878363)
"130","Museum: Freud Museum London","museum",c(-0.177392671697553, 51.5483110952668)
"131","Museum: Benjamin Franklin House","museum",c(-0.124926715777141, 51.50764721782)
"132","Museum: Fenton House","museum",c(-0.1796730089104, 51.558882849013)
"133","Museum: Markfield Beam Engine & Museum","museum",c(-0.0614479436758223, 51.581825784159)
"134","Museum: Leighton House Museum","museum",c(-0.203101800253152, 51.4986091518456)
"135","Museum: Garden Museum","museum",c(-0.119982534357394, 51.4949825855649)
"136","Museum: Elephant West","museum",c(-0.224645319071333, 51.5123509068607)
"137","Museum: RAF Museum","museum",c(-0.23860512643256, 51.5979090444694)
"138","Museum: Apsley House","museum",c(-0.151730687562787, 51.5034922317726)
"139","Museum: Wimbledon Lawn Tennis Museum","museum",c(-0.213437665601972, 51.4347389903324)
"140","Museum: Royal Institution and Faraday Museum","museum",c(-0.142382506246759, 51.509807001688)
"141","Museum: 18 Stafford Terrace","museum",c(-0.196874348729357, 51.500484608762)
"142","Museum: The Musical Museum","museum",c(-0.29313487221275, 51.4878347902947)
"143","Museum: Battle of Britain Bunker - RAF Uxbridge","museum",c(-0.465037922948672, 51.5408980610234)
"144","Museum: Museum of London Docklands","museum",c(-0.023858533257407, 51.5076053974627)
"145","Museum: Brunel Museum","museum",c(-0.0529670833041216, 51.5016021625992)
"146","Museum: Honeywood House","museum",c(-0.165087073040731, 51.3652190690283)
"147","Museum: Metropolitan Police Heritage Centre","museum",c(-0.198463842755576, 51.4866104201699)
"148","Museum: Guildhall Art Gallery","museum",c(-0.0914143102520076, 51.5155560218229)
"149","Museum: Prince Henry's Room","museum",c(-0.110926261192212, 51.5137264420877)
"150","Museum: Emirates Aviation Experience","museum",c(0.00859125225117002, 51.4996561697744)
"151","Museum: London Fire Brigade Pop-up Museum","museum",c(-0.119798531477944, 51.492568580417)
"152","Museum: Dairy Wing","museum",c(0.0660998768257865, 51.5721483163725)
"153","Museum: Pollock's Toy Museum","museum",c(-0.135248209900541, 51.5203367924037)
"154","Museum: William Morris Gallery","museum",c(-0.0203484315230551, 51.5912948174436)
"155","Museum: Rainham Hall","museum",c(0.190791821043314, 51.5179358476387)
"156","Museum: National Maritime Museum","museum",c(-0.00541512012560392, 51.480760852119)
