"name","ethnicity_perc_arab","ethnicity_perc_asian","ethnicity_perc_black","ethnicity_perc_mixed","ethnicity_perc_white","ethnicity_perc_other"
"Barking and Dagenham",0.01,0.15,0.18,0.04,0.61,0.01
"Barnet",0.01,0.18,0.09,0.05,0.64,0.03
"Bexley",0,0.07,0.08,0.02,0.82,0.01
"Brent",0.04,0.32,0.19,0.05,0.38,0.02
"Bromley",0,0.05,0.07,0.04,0.83,0.01
"Camden",0.01,0.15,0.09,0.05,0.69,0.02
"City of London",0.01,0.12,0.05,0.03,0.79,0.01
"Croydon",0,0.16,0.19,0.07,0.57,0.01
"Ealing",0.03,0.3,0.12,0.05,0.48,0.03
"Enfield",0.01,0.11,0.16,0.06,0.62,0.04
"Greenwich",0,0.11,0.18,0.05,0.63,0.01
"Hackney",0.01,0.12,0.22,0.06,0.54,0.05
"Hammersmith and Fulham",0.03,0.12,0.12,0.05,0.66,0.02
"Haringey",0.01,0.11,0.21,0.07,0.57,0.04
"Harrow",0.02,0.38,0.09,0.04,0.46,0.01
"Havering",0,0.06,0.05,0.02,0.86,0.01
"Hillingdon",0.01,0.24,0.07,0.04,0.63,0.02
"Hounslow",0.01,0.29,0.07,0.04,0.56,0.02
"Islington",0.01,0.11,0.13,0.05,0.67,0.02
"Kensington and Chelsea",0.03,0.12,0.08,0.05,0.68,0.03
"Kingston upon Thames",0.01,0.16,0.03,0.04,0.74,0.01
"Lambeth",0.01,0.09,0.27,0.07,0.54,0.02
"Lewisham",0.01,0.1,0.27,0.08,0.53,0.02
"Merton",0.01,0.17,0.1,0.05,0.65,0.01
"Newham",0.01,0.39,0.19,0.05,0.34,0.02
"Redbridge",0.01,0.38,0.09,0.04,0.45,0.02
"Richmond upon Thames",0.01,0.09,0.03,0.04,0.83,0.01
"Southwark",0.01,0.1,0.23,0.06,0.58,0.02
"Sutton",0,0.11,0.06,0.04,0.78,0.01
"Tower Hamlets",0.01,0.32,0.08,0.03,0.54,0.01
"Waltham Forest",0.02,0.22,0.17,0.06,0.51,0.03
"Wandsworth",0.01,0.13,0.14,0.06,0.65,0.01
"Westminster",0.03,0.13,0.08,0.04,0.71,0.02
