"","name","religion","geometry"
"1","London Buddhist Centre","buddhist",c(-0.0512545, 51.5280326)
"2","North London Buddhist Centre","buddhist",c(-0.1077444, 51.5494177)
"3","Drukpa UK Buddhist Centre","buddhist",c(-0.1573207, 51.542004)
"4","West London Buddhist Centre","buddhist",c(-0.1889083, 51.5177249)
"5","Dechen London: Sakya Buddhist Centre","buddhist",c(-0.1961552, 51.5188633)
"6","Peace Pagoda","buddhist",c(-0.159059595357513, 51.4820164716364)
"7","Buddhapadipa Temple","buddhist",c(-0.220538337915311, 51.4307167819053)
"8","True Buddha Temple","buddhist",c(-0.22257415519702, 51.5466076082656)
"9","Kagyu Samye Dzong London","buddhist",c(-0.0745804878461191, 51.4957876316902)
"10","London Buddhist Vihara","buddhist",c(-0.256308137320082, 51.4968979210533)
"11","RIGPA Tibetan Buddhist Centre","buddhist",c(-0.116726382402036, 51.5404215132431)
"12","Fo Guang Shan","buddhist",c(-0.138193358483955, 51.5170603102424)
"13","Kadampa Meditation Centre","buddhist",c(-0.209275755047961, 51.4025174191078)
"14","Linh Son Temple","buddhist",c(-0.0956234992182335, 51.4164039440103)
"15","Radha Krishna Temple Shyama Ashram","hindu",c(-0.1488628, 51.4471102)
"16","Maha Lakshmi Vidya Bhavan","hindu",c(-0.0520125, 51.4494299)
"17","London Sri Murugan Temple","hindu",c(0.0566192, 51.5478637)
"18","Haridham","hindu",c(-0.3061376, 51.5821559)
"19","Sri Ayyappan Kovil","hindu",c(-0.3321382, 51.5919903)
"20","Shree Ghanapathy Temple","hindu",c(-0.1891293, 51.4233648)
"21","Sri Chaitanya Saraswat Math","hindu",c(0.0363091, 51.533012)
"22","Shree Thiruththanikai Vel Murugan Temple","hindu",c(-0.2383994, 51.4006343)
"23","Siddhashram Shakti Centre","hindu",c(-0.333819, 51.5936546)
"24","Shri Sanatan Hindu Mandir","hindu",c(-0.298035202716675, 51.5433645638687)
"25","Shree Swaminarayan Temple","hindu",c(-0.215096573589267, 51.5460837415879)
"26","Hindu Pragati Sangha Mandir","hindu",c(-0.0331372261171683, 51.5259101302737)
