OA,Super Group,Super Group Name,Group,Group Name,Sub Group,Local Authority
E00000037,G,Multi-ethnic Suburbs,G1,Affordable transitions,G1a,Barking and Dagenham
E00000038,C,Settled Asians,C3,East End Asians,C3a,Barking and Dagenham
E00000039,B,High Density & High Rise Flats,B2,Bangladeshi enclaves,B2a,Barking and Dagenham
E00000040,G,Multi-ethnic Suburbs,G1,Affordable transitions,G1b,Barking and Dagenham
E00000041,C,Settled Asians,C3,East End Asians,C3c,Barking and Dagenham
E00000042,B,High Density & High Rise Flats,B1,Disadvantaged diaspora,B1a,Barking and Dagenham
E00000043,B,High Density & High Rise Flats,B1,Disadvantaged diaspora,B1a,Barking and Dagenham
E00000045,G,Multi-ethnic Suburbs,G1,Affordable transitions,G1a,Barking and Dagenham
E00000046,G,Multi-ethnic Suburbs,G1,Affordable transitions,G1a,Barking and Dagenham
E00000048,B,High Density & High Rise Flats,B1,Disadvantaged diaspora,B1a,Barking and Dagenham
E00000049,C,Settled Asians,C3,East End Asians,C3c,Barking and Dagenham
E00000050,B,High Density & High Rise Flats,B1,Disadvantaged diaspora,B1a,Barking and Dagenham
E00000051,C,Settled Asians,C3,East End Asians,C3d,Barking and Dagenham
E00000052,G,Multi-ethnic Suburbs,G1,Affordable transitions,G1a,Barking and Dagenham
E00000053,C,Settled Asians,C3,East End Asians,C3c,Barking and Dagenham
E00000054,C,Settled Asians,C3,East End Asians,C3a,Barking and Dagenham
E00000055,C,Settled Asians,C3,East End Asians,C3c,Barking and Dagenham
E00000056,G,Multi-ethnic Suburbs,G1,Affordable transitions,G1a,Barking and Dagenham
E00000057,B,High Density & High Rise Flats,B1,Disadvantaged diaspora,B1a,Barking and Dagenham
E00000059,G,Multi-ethnic Suburbs,G1,Affordable transitions,G1b,Barking and Dagenham
E00000060,C,Settled Asians,C1,Asian owner occupiers,C1a,Barking and Dagenham
E00000061,G,Multi-ethnic Suburbs,G2,Public sector & service employees,G2a,Barking and Dagenham
E00000062,G,Multi-ethnic Suburbs,G1,Affordable transitions,G1b,Barking and Dagenham
E00000063,C,Settled Asians,C3,East End Asians,C3c,Barking and Dagenham
E00000064,C,Settled Asians,C3,East End Asians,C3a,Barking and Dagenham
E00000065,G,Multi-ethnic Suburbs,G1,Affordable transitions,G1a,Barking and Dagenham
E00000066,C,Settled Asians,C3,East End Asians,C3a,Barking and Dagenham
E00000067,G,Multi-ethnic Suburbs,G1,Affordable transitions,G1a,Barking and Dagenham
E00000068,C,Settled Asians,C3,East End Asians,C3a,Barking and Dagenham
E00000069,G,Multi-ethnic Suburbs,G1,Affordable transitions,G1a,Barking and Dagenham
E00000070,A,Intermediate Lifestyles,A2,Suburban localities,A2c,Barking and Dagenham
E00000071,A,Intermediate Lifestyles,A1,Struggling suburbs,A1b,Barking and Dagenham
E00000072,A,Intermediate Lifestyles,A1,Struggling suburbs,A1b,Barking and Dagenham
E00000073,A,Intermediate Lifestyles,A1,Struggling suburbs,A1b,Barking and Dagenham
E00000074,A,Intermediate Lifestyles,A1,Struggling suburbs,A1b,Barking and Dagenham
